Press,News Article,Exaggeration,Cosine Similarity
12-11-024.txt,12-11-024_times.txt,0,-0.00979509
15-11-016.txt,15-11-016_times.txt,0,0.295536
07-11-002.txt,07-11-002_sun.txt,0,0.31227
15-11-016.txt,15-11-016_metro.txt,0,0.315904
20-11-005.txt,20-11-005_mirror.txt,0,0.319341
13-11-016.txt,13-11-016_sun.txt,0,0.324838
02-11-027.txt,02-11-027_times.txt,0,0.339629
15-11-014.txt,15-11-014_daily_star.txt,0,0.341387
14-11-012.txt,14-11-012_express.txt,0,0.346013
14-11-012.txt,14-11-012_independent.txt,0,0.349443
07-11-011.txt,07-11-011_sun.txt,0,0.351367
20-11-005.txt,20-11-005_bbc.txt,1,0.351375
15-11-016.txt,15-11-016_mirror.txt,0,0.353291
06-11-005.txt,06-11-005_sun.txt,0,0.353716
02-11-040.txt,02-11-040_independent.txt,1,0.354403
15-11-016.txt,15-11-016_independent.txt,0,0.355417
13-11-016.txt,13-11-016_metro.txt,0,0.35615
13-11-016.txt,13-11-016_bbc.txt,0,0.359087
02-11-054.txt,02-11-054_daily_mail.txt,0,0.359326
11-11-001.txt,11-11-001_express.txt,0,0.364648
07-11-002.txt,07-11-002_telegraph.txt,0,0.369443
08-11-014.txt,08-11-014_mirror.txt,1,0.374717
04-11-001.txt,04-11-001_mirror.txt,0,0.375044
04-11-010.txt,04-11-010_independent.txt,0,0.375172
13-11-016.txt,13-11-016_telegraph.txt,0,0.375663
13-11-016.txt,13-11-016_guardian.txt,0,0.377452
04-11-001.txt,04-11-001_express.txt,0,0.377621
01-11-016.txt,01-11-016_metro.txt,0,0.378617
14-11-012.txt,14-11-012_telegraph.txt,0,0.37866
15-11-016.txt,15-11-016_scotsman.txt,0,0.381542
02-11-054.txt,02-11-054_telegraph.txt,0,0.384586
16-11-007.txt,16-11-007_guardian.txt,1,0.384756
07-11-002.txt,07-11-002_express.txt,0,0.385257
19-11-013.txt,19-11-013_mirror.txt,0,0.385719
01-11-016.txt,01-11-016_scotsman.txt,0,0.388906
06-11-014.txt,06-11-014_express.txt,1,0.390555
14-11-012.txt,14-11-012_times.txt,0,0.391848
03-11-022.txt,03-11-022_sun.txt,0,0.393563
02-11-054.txt,02-11-054_sun.txt,0,0.397113
04-11-001.txt,04-11-001_times.txt,0,0.399347
07-11-022.txt,07-11-022_mirror.txt,0,0.400075
08-11-028.txt,08-11-028_telegraph.txt,0,0.400492
15-11-016.txt,15-11-016_daily_mail.txt,0,0.401136
16-11-007.txt,16-11-007_bbc.txt,1,0.4017
07-11-002.txt,07-11-002_guardian.txt,0,0.404734
05-11-024.txt,05-11-024_reuters.txt,1,0.406837
03-11-026.txt,03-11-026_metro.txt,0,0.408165
01-11-016.txt,01-11-016_guardian.txt,0,0.408411
04-11-008.txt,04-11-008_sun.txt,0,0.411864
13-11-016.txt,13-11-016_mirror.txt,0,0.414522
02-11-036.txt,02-11-036_sunday_telegraph.txt,0,0.416509
15-11-016.txt,15-11-016_sun.txt,0,0.418585
14-11-012.txt,14-11-012_bbc.txt,0,0.418789
03-11-026.txt,03-11-026_scotsman.txt,1,0.418995
03-11-004.txt,03-11-004_express.txt,0,0.421542
04-11-001.txt,04-11-001_telegraph.txt,0,0.423562
16-11-007.txt,16-11-007_telegraph.txt,1,0.423615
06-11-014.txt,06-11-014_daily_mail.txt,1,0.423858
15-11-011.txt,15-11-011_sun.txt,1,0.424289
07-11-011.txt,07-11-011_scotsman.txt,0,0.428146
07-11-018.txt,07-11-018_express.txt,1,0.428558
01-11-023.txt,01-11-023_metro.txt,1,0.432029
14-11-004.txt,14-11-004_telegraph.txt,0,0.434723
03-11-026.txt,03-11-026_reuters.txt,1,0.434922
01-11-023.txt,01-11-023_independent.txt,1,0.435135
08-11-026.txt,08-11-026_times.txt,0,0.436093
07-11-002.txt,07-11-002_daily_mail.txt,0,0.436301
01-11-002.txt,01-11-002_daily_mail.txt,0,0.436358
15-11-006.txt,15-11-006_mirror.txt,0,0.436718
16-11-007.txt,16-11-007_metro.txt,0,0.437393
03-11-026.txt,03-11-026_telegraph.txt,1,0.438494
03-11-011.txt,03-11-011_guardian.txt,1,0.438624
04-11-001.txt,04-11-001_independent.txt,0,0.439777
08-11-028.txt,08-11-028_bbc.txt,0,0.442993
08-11-004.txt,08-11-004_times.txt,0,0.443621
13-11-003.txt,13-11-003_daily_mail.txt,1,0.44393
13-11-016.txt,13-11-016_reuters.txt,0,0.444998
08-11-027.txt,08-11-027_mirror.txt,0,0.445221
01-11-016.txt,01-11-016_times.txt,0,0.445281
20-11-011.txt,20-11-011_bbc.txt,0,0.445737
09-11-003.txt,09-11-003_express.txt,0,0.446348
15-11-018.txt,15-11-018_metro.txt,0,0.446544
03-11-026.txt,03-11-026_guardian.txt,1,0.446964
16-11-007.txt,16-11-007_mirror.txt,1,0.448508
