Press,News Article,Exaggeration,Cosine Similarity
12-11-024.txt,12-11-024_times.txt,0,-0.0175538
15-11-016.txt,15-11-016_times.txt,1,0.304195
13-11-016.txt,13-11-016_sun.txt,0,0.315342
07-11-002.txt,07-11-002_sun.txt,1,0.317894
02-11-027.txt,02-11-027_times.txt,1,0.318291
15-11-014.txt,15-11-014_daily_star.txt,1,0.321613
15-11-016.txt,15-11-016_metro.txt,1,0.329812
20-11-005.txt,20-11-005_mirror.txt,0,0.332055
14-11-012.txt,14-11-012_independent.txt,1,0.345399
02-11-040.txt,02-11-040_independent.txt,1,0.348021
13-11-016.txt,13-11-016_bbc.txt,0,0.35011
04-11-001.txt,04-11-001_times.txt,1,0.354578
08-11-014.txt,08-11-014_mirror.txt,1,0.356708
15-11-016.txt,15-11-016_mirror.txt,1,0.357553
14-11-012.txt,14-11-012_express.txt,1,0.364121
07-11-002.txt,07-11-002_telegraph.txt,1,0.364903
06-11-005.txt,06-11-005_sun.txt,1,0.367812
15-11-016.txt,15-11-016_scotsman.txt,1,0.368185
15-11-016.txt,15-11-016_independent.txt,0,0.369154
02-11-054.txt,02-11-054_daily_mail.txt,0,0.370418
13-11-016.txt,13-11-016_metro.txt,0,0.37044
16-11-007.txt,16-11-007_guardian.txt,1,0.371082
20-11-005.txt,20-11-005_bbc.txt,1,0.377396
01-11-016.txt,01-11-016_metro.txt,0,0.378034
13-11-016.txt,13-11-016_telegraph.txt,0,0.382052
04-11-001.txt,04-11-001_mirror.txt,1,0.382127
13-11-016.txt,13-11-016_guardian.txt,0,0.382638
14-11-012.txt,14-11-012_times.txt,1,0.384739
05-11-024.txt,05-11-024_reuters.txt,1,0.384868
07-11-011.txt,07-11-011_sun.txt,1,0.385337
07-11-002.txt,07-11-002_express.txt,0,0.38584
04-11-008.txt,04-11-008_sun.txt,0,0.387591
14-11-012.txt,14-11-012_telegraph.txt,1,0.388492
14-11-012.txt,14-11-012_bbc.txt,1,0.389378
04-11-010.txt,04-11-010_independent.txt,1,0.39427
15-11-016.txt,15-11-016_daily_mail.txt,1,0.395914
19-11-013.txt,19-11-013_mirror.txt,0,0.399854
11-11-001.txt,11-11-001_express.txt,1,0.399879
02-11-054.txt,02-11-054_telegraph.txt,0,0.400181
08-11-028.txt,08-11-028_telegraph.txt,0,0.401158
01-11-023.txt,01-11-023_independent.txt,1,0.40143
07-11-022.txt,07-11-022_mirror.txt,0,0.402594
04-11-001.txt,04-11-001_express.txt,1,0.402924
15-11-016.txt,15-11-016_sun.txt,1,0.40686
03-11-022.txt,03-11-022_sun.txt,1,0.408667
04-11-001.txt,04-11-001_telegraph.txt,1,0.409898
15-11-011.txt,15-11-011_sun.txt,1,0.410222
02-11-054.txt,02-11-054_sun.txt,1,0.410683
14-11-004.txt,14-11-004_telegraph.txt,0,0.411213
15-11-006.txt,15-11-006_mirror.txt,0,0.415246
01-11-016.txt,01-11-016_scotsman.txt,0,0.415999
03-11-026.txt,03-11-026_telegraph.txt,1,0.419818
