Press,News Article,Exaggeration,Cosine Similarity
02-11-031.txt,02-11-031_daily_mail.txt,1,0.897184
05-11-034.txt,05-11-034_bbc.txt,0,0.896955
05-11-030.txt,05-11-030_independent.txt,0,0.895716
13-11-002.txt,13-11-002_guardian.txt,0,0.886065
05-11-021.txt,05-11-021_daily_mail.txt,1,0.879253
05-11-028.txt,05-11-028_metro.txt,0,0.871993
19-11-014.txt,19-11-014_daily_mail.txt,0,0.866873
05-11-001.txt,05-11-001_bbc.txt,1,0.856385
05-11-024.txt,05-11-024_bbc.txt,0,0.852235
16-11-005.txt,16-11-005_bbc.txt,0,0.849793
05-11-008.txt,05-11-008_daily_mail.txt,1,0.84598
05-11-030.txt,05-11-030_metro.txt,0,0.841853
04-11-016.txt,04-11-016_bbc.txt,0,0.836535
05-11-009.txt,05-11-009_bbc.txt,1,0.835827
06-11-011.txt,06-11-011_bbc.txt,0,0.834746
10-11-003.txt,10-11-003_telegraph.txt,0,0.830211
19-11-009.txt,19-11-009_telegraph.txt,0,0.828111
05-11-029.txt,05-11-029_metro.txt,0,0.822227
06-11-016.txt,06-11-016_bbc.txt,0,0.821494
05-11-011.txt,05-11-011_independent.txt,1,0.819661
05-11-031.txt,05-11-031_independent.txt,0,0.817114
05-11-012.txt,05-11-012_bbc.txt,1,0.816072
16-11-001.txt,16-11-001_bbc.txt,1,0.814303
05-11-029.txt,05-11-029_bbc.txt,1,0.813619
05-11-009.txt,05-11-009_daily_mail.txt,1,0.812792
20-11-020.txt,20-11-020_daily_mail.txt,0,0.806787
05-11-011.txt,05-11-011_daily_mail.txt,1,0.806538
08-11-021.txt,08-11-021_telegraph.txt,0,0.805441
05-11-021.txt,05-11-021_bbc.txt,1,0.80528
15-11-001.txt,15-11-001_reuters.txt,0,0.805198
06-11-011.txt,06-11-011_metro.txt,0,0.804739
09-11-017.txt,09-11-017_bbc.txt,0,0.80228
05-11-011.txt,05-11-011_bbc.txt,1,0.800934
14-11-014.txt,14-11-014_daily_mail.txt,0,0.799519
05-11-027.txt,05-11-027_bbc.txt,0,0.79876
06-11-001.txt,06-11-001_guardian.txt,0,0.793812
12-11-008.txt,12-11-008_daily_mail.txt,0,0.793778
03-11-029.txt,03-11-029_reuters.txt,0,0.793163
05-11-030.txt,05-11-030_bbc.txt,0,0.792074
12-11-015.txt,12-11-015_telegraph.txt,1,0.791656
06-11-011.txt,06-11-011_press_association.txt,0,0.790186
03-11-012.txt,03-11-012_scotsman.txt,0,0.78627
05-11-004.txt,05-11-004_bbc.txt,0,0.785656
02-11-023.txt,02-11-023_daily_mail.txt,0,0.782067
06-11-006.txt,06-11-006_daily_mail.txt,0,0.781821
05-11-036.txt,05-11-036_metro.txt,1,0.781119
03-11-028.txt,03-11-028_bbc.txt,0,0.780341
16-11-001.txt,16-11-001_telegraph.txt,1,0.779677
03-11-011.txt,03-11-011_daily_mail.txt,0,0.779012
05-11-025.txt,05-11-025_metro.txt,1,0.777972
05-11-010.txt,05-11-010_scotsman.txt,0,0.775955
02-11-030.txt,02-11-030_bbc.txt,0,0.773118
03-11-001.txt,03-11-001_daily_mail.txt,0,0.772801
16-11-005.txt,16-11-005_metro.txt,0,0.772797
03-11-025.txt,03-11-025_express.txt,1,0.771488
14-11-002.txt,14-11-002_telegraph.txt,0,0.770765
02-11-001.txt,02-11-001_times.txt,0,0.765038
05-11-035.txt,05-11-035_bbc.txt,0,0.763349
02-11-030.txt,02-11-030_guardian.txt,0,0.762366
03-11-001.txt,03-11-001_guardian.txt,0,0.760572
02-11-029.txt,02-11-029_guardian.txt,0,0.759561
03-11-032.txt,03-11-032_reuters.txt,1,0.758678
03-11-022.txt,03-11-022_metro.txt,0,0.753613
03-11-042.txt,03-11-042_bbc.txt,0,0.753175
05-11-034.txt,05-11-034_metro.txt,0,0.749558
