News Article,FS,Advice,Sample
01-11-002_daily_mail.txt,4,7,9
01-11-002_telegraph.txt,3,4,5
01-11-013_bbc.txt,3,4,5
01-11-013_daily_mail.txt,3,4,5
01-11-013_guardian.txt,3,4,5
01-11-013_independent.txt,3,4,5
01-11-013_scotsman.txt,3,4,5
01-11-013_sun.txt,3,4,5
01-11-013_times.txt,3,4,5
01-11-014_telegraph.txt,3,4,5
01-11-015_bbc.txt,3,4,5
01-11-015_daily_mail.txt,3,4,5
01-11-015_daily_star.txt,3,4,5
01-11-015_express.txt,3,4,5
01-11-015_independent.txt,3,4,5
01-11-015_metro.txt,3,4,5
01-11-015_mirror.txt,3,4,5
01-11-015_telegraph.txt,3,4,5
01-11-016_daily_mail.txt,3,4,5
01-11-016_express.txt,3,4,5
01-11-016_guardian.txt,3,4,5
01-11-016_independent.txt,3,4,5
01-11-016_metro.txt,3,4,5
01-11-016_reuters.txt,3,4,5
01-11-016_scotsman.txt,3,4,5
01-11-016_times.txt,3,4,5
01-11-019_times.txt,3,4,5
01-11-023_daily_mail.txt,3,4,5
01-11-023_express.txt,3,4,5
01-11-023_independent.txt,3,4,5
01-11-023_metro.txt,3,4,5
01-11-023_mirror.txt,3,4,5
01-11-023_reuters.txt,3,4,5
01-11-023_telegraph.txt,3,4,5
02-11-001_times.txt,3,4,5
02-11-002_bbc.txt,3,4,5
02-11-002_daily_mail.txt,3,4,5
02-11-002_express.txt,3,4,5
02-11-002_guardian.txt,3,4,5
02-11-002_independent.txt,3,4,5
02-11-002_metro.txt,3,4,5
02-11-002_sun.txt,3,4,5
02-11-002_telegraph.txt,3,4,5
02-11-002_times.txt,3,4,5
02-11-004_guardian.txt,3,4,5
02-11-012_telegraph.txt,3,4,5
02-11-022_daily_mail.txt,3,4,5
02-11-023_bbc.txt,3,4,5
02-11-023_daily_mail.txt,3,4,5
02-11-023_express.txt,3,4,5
02-11-023_guardian.txt,3,4,5
02-11-027_independent.txt,3,4,5
02-11-027_times.txt,3,4,5
02-11-029_guardian.txt,3,4,5
02-11-030_bbc.txt,3,4,5
02-11-030_daily_mail.txt,3,4,5
