press,News Source,Advice,FS,Sample,Exaggeration
05-11-2021,bbc,1,0,1,1
14-11-2007,bbc,1,0,0,1
05-11-2024,reuters,1,1,0,1
07-11-2025,sunday_sun,0,0,1,1
03-11-2024,metro,0,0,1,1
08-11-2008,express,0,0,0,0
03-11-2020,telegraph,1,0,0,1
01-11-2013,independent,1,0,0,1
05-11-1930,scotsman,0,0,0,0
09-11-2012,daily_mail,0,1,0,1
05-11-2011,daily_mail,0,0,1,1
03-11-2013,guardian,1,0,1,1
07-11-1930,daily_mail,0,1,0,1
07-11-1930,metro,0,1,0,1
03-11-2026,express,1,1,0,1
13-11-2010,independent,1,0,0,1
03-11-2004,bbc,0,1,0,1
03-11-2024,daily_mail,0,0,1,1
06-11-2018,telegraph,0,1,1,1
05-11-2008,express,0,0,1,1
19-11-2001,times,0,0,0,0
05-11-2010,sun,0,0,0,0
02-11-1949,daily_mail,0,0,0,0
07-11-2002,guardian,0,1,0,1
06-11-2018,times,0,1,0,1
15-11-2011,telegraph,1,0,0,1
03-11-2026,times,1,1,0,1
08-11-2018,mirror,0,1,0,1
19-11-2013,mirror,0,0,0,0
02-11-2029,guardian,1,0,0,1
01-11-2023,independent,1,0,0,1
07-11-2017,guardian,1,0,0,1
03-11-2026,daily_mail,1,1,0,1
03-11-2001,guardian,0,0,0,0
15-11-2006,bbc,0,0,0,0
04-11-2001,bbc,0,1,0,1
16-11-2007,bbc,1,0,0,1
15-11-2011,scotsman,1,0,0,1
16-11-2007,times,1,0,0,1
12-11-2009,express,0,0,0,0
16-11-2005,express,0,0,0,0
05-11-1936,sun,0,0,1,1
19-11-2014,reuters,0,1,0,1
04-11-2008,sun,0,0,0,0
01-11-2015,independent,0,0,0,0
16-11-2007,guardian,1,0,0,1
12-11-2015,telegraph,0,1,1,1
18-11-2005,bbc,1,1,0,1
12-11-2015,express,0,1,1,1
15-11-2016,bbc,0,1,0,1
20-11-2014,daily_mail,0,0,0,0
03-11-1933,reuters,0,1,0,1
07-11-2004,metro,0,1,0,1
03-11-1938,bbc,0,0,0,0
05-11-1930,metro,0,0,0,0
03-11-2004,reuters,0,1,0,1
20-11-2020,telegraph,0,0,0,0
